ProductID,ProductDescription,RecMeasureID,InvMeasureID,ProductType,RecipeType,IVAFlag,CreditFlag
1,Ziegenbock KEG,7,4,1,1,0,1
2,Ziegenbock Bottle,4,4,1,1,0,1
3,Worcestershire,7,3,2,1,1,1
4,Do Not Use,7,14,2,1,0,0
5,Whipping Cream,7,4,2,1,1,1
6,Whipped Cream Cans,8,4,2,1,1,1
7,"Walnuts, Candied",8,2,2,1,1,-1
8,"Vinegar, White",7,3,2,1,1,1
9,"Vinegar, Red Wine",7,3,2,1,1,1
10,"Vinegar, Apple Cider",7,3,2,1,1,1
11,Victoria Bottle,4,4,1,1,0,1
12,Vegetable Base,8,24,2,1,1,1
13,V8 Vegetable Juice,7,14,2,1,1,1
14,"Turkey, Ground",8,2,2,1,1,1
15,"T-Shirt, Mardi Gras",4,4,4,1,1,1
16,Shirt - Baseball S,4,4,4,1,1,-1
17,Tres Agaves Tequila,7,14,1,1,1,1
18,"Tortilla, Corn",4,5,2,1,1,-1
19,"Tortilla, Burrito Die Cut",4,18,2,1,1,1
20,"Tortilla, 6"" Orange",4,18,2,1,1,1
21,"Tortilla Chips, Super Thin",8,2,2,1,1,-1
22,"Tomato, Salsa",8,2,2,1,1,1
23,"Tomato, Chopped Canned",8,16,2,1,1,1
24,"Tomato, Cherry",4,23,2,1,1,1
25,"Tomato, 4x5",8,2,2,1,1,1
26,Tito's Vodka,7,14,1,1,1,1
27,Third Shift Bottle,4,4,1,1,0,1
28,Teriyaki Sauce,7,14,2,1,1,1
29,Tecate Light Can,4,4,1,1,1,1
30,Tecate Can,4,4,1,1,1,1
31,"Tea, Iced Bags",5,5,3,1,0,1
32,Tai Sauce Mae Ploy,7,14,2,1,1,1
33,Tabasco 5oz BTL,7,14,2,1,0,1
34,Sweet n Low,4,1,2,1,1,1
35,Sutter Home White Zinfandel,7,14,1,1,1,1
36,Sutter Home Chardonnay,7,14,1,1,1,1
37,Sutter Home Cabernet Sauvignon,7,14,1,1,1,1
38,"Sugar, Bulk",7,2,2,1,0,1
39,Sugar Packets,4,1,2,1,0,1
40,"Strawberries, Frozen",8,12,2,1,1,-1
41,"Strawberries, Fresh",4,23,2,1,1,1
42,Stella Artois Bottle,4,4,1,1,0,1
43,St. Arnold Root Beer KEG,7,4,1,1,1,1
44,St. Arnold Root Beer Bottle,4,4,1,1,1,1
45,St. Arnold Amber Bottle,4,4,1,1,1,1
46,"Squash, Yellow Fresh",8,2,2,1,1,-1
47,Splenda,4,1,2,1,0,1
48,"Spinach, Baby",8,2,2,1,1,1
49,"Spice, Ready Mix Crawfish",8,2,2,1,1,1
50,"Spice, White Pepper",7,14,2,1,1,1
51,"Spice, Thyme Ground",7,14,2,1,1,1
52,"Spice, Taco Spice",9,9,2,1,1,1
53,"Spice, Burger & Steak Seasoning",7,2,2,1,1,1
54,"Spice, Slap Ya Mama",8,2,2,1,1,1
55,"Spice, Season All",7,2,2,1,1,1
56,"Spice, Salmon Grill",7,14,2,1,1,1
57,"Spice, Rosemary Leaves",7,14,2,1,1,1
58,"Spice, Poppy Seed Whole",7,14,2,1,1,1
59,"Spice, Paprika",7,14,2,1,1,1
60,"Spice, Oregano",7,14,2,1,1,1
61,"Spice, Onion Salt",7,14,2,1,1,1
62,"Spice, Onion Powder",7,14,2,1,1,1
63,"Spice, Marinade",9,9,2,1,1,1
64,"Spice, Lemon Pepper",7,14,2,1,1,1
65,"Spice, Gumbo File",7,14,2,1,1,1
66,"Spice, Garlic Salt",7,14,2,1,1,1
67,"Spice, Garlic Granulated",7,2,2,1,1,1
68,"Spice, Flour Seasoning",9,9,2,1,1,1
69,"Spice, Crawfish Boil Packets",8,9,2,1,1,1
70,Corn Starch,7,2,2,1,1,-1
71,"Spice, Coleslaw Stabilizer",7,5,2,1,1,1
72,"Spice, Cinnamon",7,14,2,1,1,1
73,"Spice, Cayenne",7,14,2,1,1,1
74,"Spice, Blackened Seasoning",7,16,2,1,1,1
75,"Spice, Black Pepper Table Grind",7,2,2,1,1,1
76,"Spice, Black Pepper Coarse",7,2,2,1,1,-1
77,"Spice, Bay Leaves",4,14,2,1,1,1
78,"Spice, Baking Powder",7,14,2,1,1,1
79,Soy Sauce,7,3,2,1,1,1
80,Sour Cream,7,22,2,1,1,1
81,Sol Bottle,4,4,1,1,0,1
82,DoNotUse2,7,3,2,1,0,0
83,Smirnoff,7,14,1,1,1,1
84,Skyy,7,14,1,1,1,1
85,Shrimp 21/25,8,2,2,1,1,1
86,Shock Top Bottle,4,4,1,1,0,1
87,Shirt - Grill Daddy S,4,4,3,1,1,0
90,Shirt - Western BBB XXL,4,4,4,1,1,0
93,Shirt - Western BBB XL,4,4,4,1,1,0
96,Shirt - Western BBB S,4,4,4,1,1,0
99,Shirt - Western BBB M,4,4,4,1,1,0
102,Shirt - Western BBB L,4,4,4,1,1,0
105,Shirt - Swoosh XXL,4,4,4,1,1,0
108,Shirt - Swoosh XL,4,4,4,1,1,0
111,Shirt - Swoosh S,4,4,4,1,1,0
114,Shirt - Swoosh M,4,4,4,1,1,0
117,Shirt - Swoosh L,4,4,4,1,1,0
120,Shirt - Pink XXL,4,4,4,1,1,0
123,Shirt - Pink XL,4,4,4,1,1,0
126,Shirt - Pink S,4,4,4,1,1,0
129,Shirt - Pink M,4,4,4,1,1,0
132,Shirt - Pink L,4,4,4,1,1,0
135,Shirt - Icons BBB XXL,4,4,4,1,1,0
138,Shirt - Icons BBB XL,4,4,4,1,1,0
141,Shirt - Icons BBB S,4,4,4,1,1,0
144,Shirt - Icons BBB M,4,4,4,1,1,0
147,Shirt - Icons BBB L,4,4,4,1,1,0
150,Shirt - Hatch XXL,4,4,4,1,1,0
153,Shirt - Hatch XL,4,4,4,1,1,0
156,Shirt - Hatch S,4,4,4,1,1,0
159,Shirt - Hatch M,4,4,4,1,1,0
162,Shirt - Hatch L,4,4,4,1,1,0
165,Shirt - Crawdaddy XXL,4,4,4,1,1,0
168,Shirt - Crawdaddy XL,4,4,4,1,1,0
171,Shirt - Crawdaddy S,4,4,4,1,1,0
174,Shirt - Crawdaddy M,4,4,4,1,1,0
177,Shirt - Crawdaddy L,4,4,4,1,1,0
180,Shirt - Classic BBB XXL,4,4,4,1,1,0
183,Shirt - Classic BBB XL,4,4,4,1,1,0
186,Shirt - Classic BBB S,4,4,4,1,1,0
189,Shirt - Classic BBB M,4,4,4,1,1,0
192,Shirt - Classic BBB L,4,4,4,1,1,0
195,Shirt - Camo XXL,4,4,4,1,1,0
198,Shirt - Camo XL,4,4,4,1,1,0
201,Shirt - Camo S,4,4,4,1,1,0
204,Shirt - Camo M,4,4,4,1,1,0
207,Shirt - Camo L,4,4,4,1,1,0
210,Shirt - Bottle Cap XXL,4,4,4,1,1,0
213,Shirt - Bottle Cap XL,4,4,4,1,1,0
216,Shirt - Bottle Cap S,4,4,4,1,1,0
219,Shirt - Bottle Cap M,4,4,4,1,1,0
222,Shirt - Bottle Cap L,4,4,4,1,1,0
225,Shirt - Beer & Crawfish XXL,4,4,4,1,1,0
228,Shirt - Beer & Crawfish XL,4,4,4,1,1,0
231,Shirt - Beer & Crawfish S,4,4,4,1,1,0
234,Shirt - Beer & Crawfish M,4,4,4,1,1,0
237,Shirt - Beer & Crawfish L,4,4,4,1,1,0
240,Shirt - BBB Crawfish XXL,4,4,4,1,1,0
243,Shirt - BBB Crawfish XL,4,4,4,1,1,0
246,Shirt - BBB Crawfish S,4,4,4,1,1,0
249,Shirt - BBB Crawfish M,4,4,4,1,1,0
252,Shirt - BBB Crawfish L,4,4,4,1,1,0
253,Shiner Wicked Ram IPA Bottle,4,4,1,1,0,1
254,Shiner Whitewing Bottle,4,4,1,1,0,1
255,Shiner Whitehare Bottle,4,4,1,1,1,1
256,Shiner Octoberfest KEG,7,4,1,1,1,1
257,Shiner Octoberfest Bottle,4,4,1,1,1,1
258,Shiner Ruby Redbird Bottle,4,4,1,1,1,1
259,Shiner Hefeweizen Bottle,4,4,1,1,1,1
260,Shiner Cheer Bottle,4,4,1,1,1,1
261,Shiner Bock KEG,7,4,1,1,1,1
262,Shiner Bock Bottle,4,4,1,1,1,1
263,Shiner Light Blonde Bottle,4,4,1,1,1,-1
264,Shiner Black Bottle,4,4,1,1,0,1
265,Shake Mix,7,14,2,1,1,-1
266,Seagrams 7,7,14,1,1,1,1
267,"Sausage, Links",8,1,2,1,1,1
268,St. Arnold Santo Bottle,4,4,1,1,1,-1
269,Samuel Adams Winter Ale Bottle,4,4,1,1,0,1
270,Samuel Adams Lager KEG,7,4,1,1,0,1
271,Samuel Adams Lager Bottle,4,4,1,1,1,1
272,"Salt, Bulk",7,2,2,1,1,1
273,Rose's Lime Juice,7,14,3,1,1,1
274,Rolling Rock Bottle,4,4,1,1,0,1
275,"Rice, White",8,2,2,1,1,1
276,"Relish, Sweet",7,16,2,1,1,1
277,"Relish, Dill",7,16,2,1,1,1
278,Redds Apple Ale Bottle,4,4,1,1,0,1
279,Red Stripe Bottle,4,4,1,1,0,1
280,Red Bull,4,4,1,1,1,1
281,"Potato, Red Small",4,2,2,1,1,1
282,"Potato, 70CT",4,2,2,1,1,1
283,"Potato, 40CT",4,2,2,1,1,1
284,Don't Use,9,13,2,1,0,0
285,Potato Pearl Instant,8,5,2,1,1,1
286,"Pork, Ribs",8,2,2,1,1,1
287,"Pork, Butt",8,2,2,1,1,1
288,"Pork, Bacon Bit",8,2,2,1,1,1
289,"Pork, Bacon",8,2,2,1,1,1
290,Pineapple Juice,7,3,2,1,1,1
291,"Pie, Apple",4,4,2,1,1,1
292,"Pickles, Dill Slices",4,3,2,1,1,1
293,"Pepper, Chipotle Adobo",8,16,2,1,1,1
294,"Pepper, Red Bell",8,2,2,1,1,1
295,"Pepper, Jalapenos Pickled",8,16,2,1,1,1
296,"Pepper, Green Bell",8,2,2,1,1,1
297,Pecan Pieces,8,2,2,1,1,-1
298,"Pear, Asian",8,2,2,1,1,-1
299,"Peaches, Canned",8,16,2,1,1,1
300,PBR Bottle,4,4,1,1,0,1
301,Patron Tequila,7,14,1,1,1,1
302,Patron Citronge,7,14,1,1,1,1
303,"Pasta, Macaroni",8,2,2,1,1,1
304,"Parsley, Fresh",8,15,2,1,1,-1
305,Pam Pan Coating ARSL,4,4,2,1,1,1
306,Pacifico Bottle,4,4,1,1,0,1
307,Oreo Crumbs,8,2,2,1,1,1
308,"Oranges, Mandarin",8,16,2,1,1,1
309,Oranges,4,2,2,1,1,1
310,"Onion, Yellow Colossal",8,2,2,1,1,1
311,"Onion, Red",8,2,2,1,1,1
312,"Onion, Green",8,15,2,1,1,1
313,"Okra, Frozen",8,5,2,1,1,1
314,"Oil, Vegetable",7,24,2,1,1,1
315,"Oil, Olive 75/25",7,3,2,1,1,-1
316,"Oil, Fry Shortening",8,24,2,1,0,1
317,"Oil, Canola 90/10",7,3,2,1,1,-1
318,O'Douls NA Bottle,4,4,1,1,1,1
319,NYF Root Beer Bottle,4,4,1,1,1,1
320,NYF Ginger Ale Bottle,4,4,1,1,0,1
321,No Label Gillys Bottle,4,4,1,1,0,1
322,New Castle Bottle,4,4,1,1,0,1
323,Negro Modelo Bottle,4,4,1,1,0,1
324,"Mustard, Dijon",7,14,2,1,1,1
325,"Mushroom, Foodservice",8,2,2,1,1,1
326,"Mushroom, Button",8,2,2,1,1,1
327,Monin Mojito Mix,7,14,1,1,1,1
328,Modelo Especial Bottle,4,4,1,1,1,1
329,Miller Lite KEG,7,4,1,1,1,1
330,Miller Lite Bottle,4,4,1,1,1,1
331,Milk,7,3,2,1,1,1
332,Midori,7,14,1,1,1,1
333,Michelob Ultra KEG,7,4,1,1,1,1
334,Michelob Ultra Bottle,4,4,1,1,1,1
335,Michelob Bottle,4,4,1,1,0,1
336,MGD Bottle,4,4,1,1,0,1
337,MGD 64 Bottle,4,4,1,1,0,1
338,Menage A Trois Red Blend,7,14,1,1,1,1
339,Mayonnaise,7,3,2,1,0,1
340,Marinara Sauce,7,16,2,1,1,1
341,Donotuse12,25,13,2,1,1,-1
342,Margarine,8,2,2,1,1,1
343,Macallan Scotch,7,14,1,1,1,1
344,Lone Star Light Bottle,4,4,1,1,1,1
345,Lone Star Bottle,4,4,1,1,1,1
346,Lobster Base,8,24,2,1,1,1
347,Lobo Bottle,4,4,1,1,0,1
348,Liquid Smoke,7,3,2,1,1,1
349,Limes,4,2,2,1,0,1
350,"Bar Mix, Lime Powder",8,9,3,1,1,-1
351,Liberty School Cabernet Sauvignon,7,14,1,1,1,1
352,"Lettuce, Spring Mix",8,2,2,1,1,1
353,"Lettuce, Romaine",8,2,2,1,1,1
354,"Lettuce, Iceberg",8,2,2,1,1,1
355,Lemons,4,2,2,1,0,1
356,"Bar Mix, Lemon Powder",8,9,3,1,1,-1
357,Lemon Juice,7,3,2,1,1,-1
358,Leinenkugel Cranberry Ginger Bottle,4,4,1,1,0,1
359,Leinenkugel Bottle,4,4,1,1,0,1
360,Landshark KEG,7,4,1,1,0,1
361,Landshark Bottle,4,4,1,1,1,1
362,"Ketchup, Packets",4,13,2,1,0,1
363,"Ketchup, Bottle",7,14,2,1,0,1
364,Kendall Jackson Chardonnay,7,14,1,1,1,1
365,Karbach Hopadillo IPA KEG,7,4,1,1,0,1
366,Karbach Hopadillo IPA Can,4,4,1,1,1,1
367,Jagermeister,7,14,1,1,1,1
368,Jack Daniels Bourbon 1.75L,7,32,1,1,1,-1
369,Imperial Bottle,4,4,1,1,0,1
370,"Ice Cream, Vanilla",7,3,2,1,1,0
371,"Tequila, House",7,32,1,1,1,-1
372,Hot Dogs 8/1,4,2,2,1,1,0
373,Hot Cocoa Mix,4,4,2,1,1,0
374,Horseradish,7,3,2,1,1,0
375,Honey,7,2,2,1,1,0
376,Heinz Steak Sauce,7,4,2,1,0,1
377,Heineken Light Bottle,4,4,1,1,0,0
378,Heineken Bottle,4,4,1,1,1,0
379,Haywire Bottle,4,4,1,1,0,0
382,Hat - Trucker,4,4,4,1,1,0
385,Hat - Camo,4,4,4,1,1,0
386,Half & Half,7,29,2,1,1,0
387,Guiness Bottle,4,4,1,1,0,0
388,Grolsch Bottle,4,4,1,1,0,0
389,Grey Goose,7,14,1,1,1,1
390,"Green Beans, Fresh",8,2,2,1,1,-1
391,Gravy Mix Brown,4,4,2,1,1,1
392,Grapefruit Juice,7,3,2,1,1,1
393,Grand Marnier,7,14,1,1,1,1
394,Goose Island IPA Bottle,4,4,1,1,1,1
395,George Killian Bottle,4,4,1,1,0,1
396,"Garlic, Whole Peeled",8,2,2,1,1,-1
397,Fruit Cups,4,4,2,1,1,1
398,"Fries, Sweet Potato",8,1,2,1,1,1
399,"Fries, 5/16"" Russet",8,1,2,1,1,1
400,Fosters Can,4,4,1,1,0,1
401,Fosters Bottle,4,4,1,1,0,1
402,"Flour, All Purpose",7,2,2,1,1,1
403,"Fish, Tilapia Filet",8,2,2,1,1,1
404,"Fish, Salmon Filet",8,2,2,1,1,1
405,"Fish, Pollack Filet",8,2,2,1,1,1
406,"Fish, Catfish 9/11",8,1,2,1,1,1
407,"Fish, Catfish 3/5",8,1,2,1,1,1
408,Fireball,7,14,1,1,1,1
409,New Belgium Fat Tire KEG,7,3,1,1,0,1
410,Dontuse10,4,4,1,1,1,-1
411,Estancia Pinot Grigio,7,14,1,1,1,1
412,Egg Roll Skins,4,9,2,1,1,1
413,Deep Eddy Sweet Tea Vodka,7,14,1,1,1,1
414,Easy Egg,7,4,2,1,1,1
415,"Dressing, Thousand Island",7,3,2,1,1,1
416,"Dressing, Ranch Mix",9,9,2,1,1,1
417,"Dressing, Italian Mix",9,9,2,1,1,1
418,"Dressing, Fat Free Ranch",7,3,2,1,1,1
419,"Dressing, Fat Free Italian",7,3,2,1,1,1
420,"Dressing, Asian Ginger",7,3,2,1,1,-1
421,Dos XX Light KEG,7,4,1,1,1,1
422,Dos XX Light Bottle,4,4,1,1,1,1
423,DoNotUse6,4,4,1,1,1,-1
424,Dont use,4,4,1,1,0,0
425,Dos XX Dark Bottle,4,4,1,1,0,1
426,Dos XX Light 7oz Bottle,4,4,1,1,1,-1
427,Dasani Bottle,4,4,2,1,1,-1
428,Cuervo 1800,7,14,1,1,1,1
429,Cucumbers,8,2,2,1,1,1
430,Crown Royal,7,14,1,1,1,1
431,Croutons,8,9,2,1,1,1
432,Creamers,4,13,2,1,1,-1
433,"Crawfish, Tails",8,2,2,1,1,1
434,"Crawfish, Live",8,2,2,1,1,-1
435,"Cranberries, Dried",8,2,2,1,1,-1
436,"Crackers, Saltine",4,13,2,1,1,1
437,"Crackers, Club",4,13,2,1,1,1
438,Crab Base,8,14,2,1,1,1
439,Coronita Bottle,4,4,1,1,1,1
440,Corona Light Bottle,4,4,1,1,1,1
441,Corona Bottle,4,4,1,1,1,1
442,Corn Meal,8,2,2,1,1,1
443,Corn Dog,4,1,2,1,1,-1
444,Corn Cob,4,1,2,1,1,-1
445,Coors Light Bottle,4,4,1,1,1,1
446,Coors Bottle,4,4,1,1,1,1
447,"Coffee, Regular",9,9,3,1,1,1
448,"Coffee, Decaf",9,9,3,1,1,1
449,Cilantro,8,15,2,1,1,1
450,Cholula Hot Sauce,7,14,2,1,0,1
451,Chocolate Syrup,7,16,2,1,1,-1
452,Chivas Regal,7,14,1,1,1,1
453,"Chips, Fritos",9,9,2,1,1,1
454,Chili Sauce,7,16,2,1,1,1
455,Chili,8,24,2,1,1,1
456,"Chicken, Wings",4,2,2,1,1,1
457,"Chicken, Thigh",8,2,2,1,1,1
458,"Chicken, Tenderloins",8,2,2,1,1,1
459,"Chicken, Breasts",8,2,2,1,1,1
460,Chicken Base,8,24,2,1,1,1
461,"Cheese, Swiss Slice",10,9,2,1,1,1
462,"Cheese, Parmesan Shredded",8,2,2,1,1,1
463,"Cheese, Mozzarella Sticks",4,2,2,1,1,-1
464,"Cheese, Monterey Jack Slice",10,9,2,1,1,1
465,"Cheese, Monterey Jack Block",8,2,2,1,1,1
466,"Cheese, Gorgonzola",8,2,2,1,1,1
467,"Cheese, Golden Velvet Block",8,2,2,1,1,1
468,"Cheese, Feta Crumble",8,2,2,1,1,1
469,"Cheese, Cheddar Slice",10,9,2,1,1,1
470,"Cheese, Cheddar Block",8,2,2,1,1,1
471,"Cheese, Blue Crumble",8,5,2,1,1,1
472,"Cheese, American Slice",10,9,2,1,1,1
473,Chambord,7,14,1,1,1,1
474,Centenario Tequila,7,14,1,1,1,1
475,Celery,8,2,2,1,1,1
476,Cashew Nuts,8,2,2,1,1,-1
477,Carrots,8,2,2,1,1,1
478,"Cap, Cook (Black Mesh Back)",4,4,3,1,1,1
479,"Cabbage, Red",8,2,2,1,1,1
480,"Cabbage, Green",8,2,2,1,1,1
481,Buttermilk,7,4,2,1,1,1
482,Butterfinger Topping,8,2,2,1,1,1
483,"Butter, Unsalted",8,2,2,1,1,1
484,"Bun, White",4,9,2,1,1,1
485,"Bun, Wheat",4,9,2,1,1,1
486,"Bun, Texas Toast",10,31,2,1,1,1
487,"Bun, Kid",4,18,2,1,1,1
488,"Bun, Hot Dog",4,18,2,1,1,1
489,Budweiser KEG,7,4,1,1,1,1
490,Budweiser Bottle,4,4,1,1,1,1
491,Bud Select 55 Bottle,4,4,1,1,0,1
492,Bud Light Wheat Bottle,4,4,1,1,0,1
493,Bud Light Platinum Bottle,4,4,1,1,0,1
494,Bud Light Lime Bottle,4,4,1,1,1,1
495,Bud Light KEG,7,4,1,1,1,1
496,Bud Light Bottle,4,4,1,1,1,1
497,Brownie Mix,5,13,2,1,1,-1
498,Broccoli Crowns,8,1,2,1,1,1
499,Bridgeport Bottle,4,4,1,1,0,1
500,"Bread Crumbs, Plain",8,9,2,1,1,1
501,"Bread Crumbs, Japanese",8,2,2,1,1,1
502,Brandy,7,14,1,1,1,1
503,Boulevard Wheat Bottle,4,4,1,1,0,1
504,Blue Moon KEG,7,4,1,1,1,1
505,Blue Moon Bottle,4,4,1,1,1,1
506,Blue Moon 7oz Bottle,4,4,1,1,0,1
507,"Bar Mix, Bloody Mary",7,14,3,1,1,-1
508,Do Not Use 2,7,14,1,1,0,0
509,Blackstone Merlot,7,14,1,1,1,1
510,"BIB, Sprite",7,4,3,1,0,0
511,"BIB, Root Beer",7,4,3,1,0,0
512,"BIB, Poweraid Mountain Blast",7,4,3,1,0,0
513,"BIB, Lemon Aid",7,4,3,1,0,0
514,"BIB, Fuze Raspberry Iced Tea",7,4,3,1,0,0
515,"BIB, Dr. Pepper",7,4,3,1,0,0
516,"BIB, Diet Dr. Pepper",7,4,3,1,0,0
517,"BIB, Diet Coke",7,4,3,1,0,0
518,"BIB, Coke Zero",7,4,3,1,0,0
519,"BIB, Coke",7,4,3,1,0,0
520,"Beef, Top Sirloin Steak 8oz",4,2,2,1,1,-1
521,"Beef, Ribeye Steak",8,2,2,1,1,1
522,"Beef, Philly Steak",8,2,2,1,1,-1
523,"Beef, Ground",8,2,2,1,1,1
524,"Beef, Cube Steak",4,2,2,1,1,1
525,"Beef, Burger Patty 5/1",4,1,2,1,1,1
526,"Beef, Burger Patty 2/1",4,1,2,1,1,1
527,Beef Base,8,2,2,1,1,1
528,BBQ Sauce,7,3,2,1,1,1
529,Bandana,4,4,3,1,1,1
530,Bailey's,7,14,1,1,1,1
531,"Bun, Baguette Whole",4,4,2,1,1,1
532,Bacardi Rum,7,14,1,1,1,1
533,Avocado,4,4,2,1,1,1
534,Asparagus,8,2,2,1,1,1
535,"Arugula, Baby",8,2,2,1,1,1
536,Artichoke Heart Quarters,8,16,2,1,1,1
537,"Apron, Server",4,4,3,1,1,1
538,Dontuse8,4,4,1,1,1,-1
539,Angry Orchard Crisp Apple Ale Bottle,4,4,1,1,0,1
540,Anchovy Paste,8,14,2,1,1,1
541,Amaretto,7,14,1,1,1,1
542,Abita Mardi Gras Bock Bottle,4,4,1,1,0,1
543,A-1 Steak Sauce,7,14,2,1,1,1
544,Roux Dark Prepared,8,2,2,3,0,0
545,Country Gravy Prepared,7,3,2,3,0,0
546,Brandy Butter Sauce Prepared,27,27,2,3,0,0
547,Lemon Garlic Butter Prepared,7,3,2,3,0,0
548,Brown Gravy Prepared,7,3,2,3,0,0
549,Bulliard Cayenne Pepper Sauce,7,14,2,1,1,-1
550,"Pork, Bacon Grease",8,2,2,1,1,1
551,Hatch Green Chile Sauce Prepared,7,29,2,3,0,0
552,Vanilla Extract,7,23,2,1,1,1
553,Frank's Red Hot,7,3,2,1,1,1
554,Catfish Breading Prepared,7,2,2,3,0,0
555,Cucumbers Sliced,4,2,2,3,0,0
556,Fish Taco Slaw Prepared,8,2,2,3,0,0
557,Cilantro Rough Chopped,8,6,2,3,0,0
558,Onions Red Cleaned,8,2,2,3,0,0
559,Bun White Toasted,4,4,2,3,0,0
560,Bun Wheat Toasted,4,4,2,3,0,0
561,Lettuce Iceberg Shredded,8,2,2,3,0,0
562,Turkey Burger Prepared,4,4,2,3,0,0
563,Broccoli Florets Prepared,8,2,2,3,0,0
564,"Zucchini, Fresh",8,2,2,1,1,-1
565,Zucchini Half Moons,8,2,2,3,0,0
566,Squash Yellow Half Moons,8,2,2,3,0,0
567,Carrots Sliced Moons,8,2,2,3,0,0
568,Vanilla Ice Cream Scooped,4,4,2,3,0,0
569,"Cheese, Cheddar Shredded",8,2,2,3,0,0
570,French Fries Cooked,8,6,2,3,0,0
571,Egg Wash Prepared,7,3,2,3,0,0
572,Onion Yellow Cleaned,8,2,2,3,0,0
573,Crawfish Boil Prepared,7,7,2,3,0,0
574,Honey Mustard Dressing Prepared,7,3,2,3,0,0
575,Onion Yellow Chopped,8,2,2,3,0,0
576,"Mustard, Yellow",7,14,2,1,1,1
577,Tomatoes 4x5 DeStemmed,8,2,2,3,0,0
578,Garlic Chopped,8,6,2,3,0,0
579,Bleu Cheese Dressing Prepared,7,3,2,3,0,0
580,"Spice, Nutmeg",7,14,2,1,1,1
581,Pico de Gallo Prepared,8,2,2,3,0,0
582,Spinach Salad Bags Prepared,27,27,2,3,0,0
583,DoNotUse7,7,2,2,1,1,-1
585,"Pepper, Jalapeno",8,2,2,1,1,1
586,"Pepper, Serrano",8,2,2,1,1,-1
587,Celery Trimmed,8,6,2,3,0,0
588,Mixed Vegetables Prepared,27,27,2,3,0,0
589,Caesar Dressing Prepared,7,3,2,3,0,0
590,"Cheese, Parmesan Grated",8,14,2,1,1,1
591,Parsley Chopped,8,6,2,3,0,0
592,Onion Green Trimmed,8,6,2,3,0,0
